"investment.date","company.id","firm.name","round.number","amount","valuation","equity.invested"
1995-08-21,"Company F","Fund 6",4,7,23,20
1995-08-21,"Company F","Fund 7",4,9,22,29
1995-08-21,"Company F","Fund 8",4,8,29,20
1995-08-21,"Company F","Fund 9",4,5,34,17
1995-08-21,"Company F","Fund 10",4,5,31,5
1995-09-14,"Company F","Fund 1",5,3,27,16
1995-09-14,"Company F","Fund 2",5,10,35,20
1995-09-14,"Company F","Fund 3",5,7,40,21
1995-09-14,"Company F","Fund 4",5,10,40,23
1995-09-14,"Company F","Fund 5",5,5,26,21
1995-09-14,"Company F","Fund 6",5,6,33,27
1995-09-14,"Company F","Fund 7",5,9,34,38
1995-09-14,"Company F","Fund 8",5,5,21,28
1995-09-14,"Company F","Fund 9",5,4,21,22
1995-09-14,"Company F","Fund 10",5,6,25,10
1995-09-18,"Company F","Fund 1",6,2,27,19
1995-09-18,"Company F","Fund 2",6,8,40,30
1995-09-18,"Company F","Fund 3",6,8,25,28
1995-09-18,"Company F","Fund 4",6,8,30,33
1995-09-18,"Company F","Fund 5",6,8,29,26
1995-09-18,"Company F","Fund 6",6,2,22,33
1995-09-18,"Company F","Fund 7",6,5,28,47
1995-09-18,"Company F","Fund 8",6,1,39,33
1995-09-18,"Company F","Fund 9",6,1,25,26
1995-09-18,"Company F","Fund 10",6,5,34,16
1995-10-08,"Company F","Fund 1",7,6,21,21
1995-10-08,"Company F","Fund 2",7,4,26,38
1995-10-08,"Company F","Fund 3",7,1,29,36
1995-10-08,"Company F","Fund 4",7,1,31,41
1995-10-08,"Company F","Fund 5",7,10,30,34
1995-10-08,"Company F","Fund 6",7,8,40,35
1995-10-08,"Company F","Fund 7",7,10,33,52
1995-10-08,"Company F","Fund 8",7,8,35,34
1995-10-08,"Company F","Fund 9",7,3,32,27
1995-10-08,"Company F","Fund 10",7,6,31,21
1995-10-14,"Company F","Fund 1",8,2,40,27
1995-10-14,"Company F","Fund 2",8,2,30,42
1995-10-14,"Company F","Fund 3",8,3,26,37
1995-10-14,"Company F","Fund 4",8,2,35,42
1995-10-14,"Company F","Fund 5",8,9,32,44
1995-10-14,"Company F","Fund 6",8,7,39,43
1995-10-14,"Company F","Fund 7",8,4,38,62
1995-10-14,"Company F","Fund 8",8,7,22,42
1995-10-14,"Company F","Fund 9",8,7,23,30
1995-10-14,"Company F","Fund 10",8,3,21,27
1995-11-03,"Company F","Fund 1",9,3,36,29
1995-11-03,"Company F","Fund 2",9,8,34,44
1995-11-03,"Company F","Fund 3",9,1,34,40
1995-11-03,"Company F","Fund 4",9,10,22,44
1995-11-03,"Company F","Fund 5",9,5,29,53
1995-11-03,"Company F","Fund 6",9,9,37,50
1995-11-03,"Company F","Fund 7",9,3,25,66
1995-11-03,"Company F","Fund 8",9,6,26,49
1995-11-03,"Company F","Fund 9",9,3,35,37
1995-11-03,"Company F","Fund 10",9,10,22,30
1995-11-14,"Company F","Fund 1",10,6,37,32
1995-11-14,"Company F","Fund 2",10,5,29,52
1995-11-14,"Company F","Fund 3",10,5,29,41
1995-11-14,"Company F","Fund 4",10,9,30,54
1995-11-14,"Company F","Fund 5",10,10,23,58
1995-11-14,"Company F","Fund 6",10,7,27,59
1995-11-14,"Company F","Fund 7",10,9,40,69
1995-11-14,"Company F","Fund 8",10,2,25,55
1995-11-14,"Company F","Fund 9",10,8,28,40
1995-11-14,"Company F","Fund 10",10,9,37,40
1995-11-23,"Company G","Fund 1",1,2,33,1
1995-11-23,"Company G","Fund 2",1,1,26,1
1995-11-23,"Company G","Fund 3",1,8,31,1
1995-11-23,"Company G","Fund 4",1,9,30,1
1995-11-23,"Company G","Fund 5",1,2,33,1
1995-11-23,"Company G","Fund 6",1,10,40,1
1995-11-23,"Company G","Fund 7",1,4,26,1
1995-11-23,"Company G","Fund 8",1,3,33,1
1995-11-23,"Company G","Fund 9",1,9,31,1
1995-11-23,"Company G","Fund 10",1,8,21,1
1995-12-30,"Company G","Fund 1",2,7,36,2
1995-12-30,"Company G","Fund 2",2,9,31,1
1995-12-30,"Company G","Fund 3",2,8,29,8
1995-12-30,"Company G","Fund 4",2,6,29,9
1995-12-30,"Company G","Fund 5",2,1,40,2
1995-12-30,"Company G","Fund 6",2,10,26,10
1995-12-30,"Company G","Fund 7",2,3,22,4
1995-12-30,"Company G","Fund 8",2,1,23,3
1995-12-30,"Company G","Fund 9",2,1,21,9
1995-12-30,"Company G","Fund 10",2,1,22,8
1996-02-23,"Company G","Fund 1",3,2,36,9
1996-02-23,"Company G","Fund 2",3,2,33,10
1996-02-23,"Company G","Fund 3",3,3,21,16
1996-02-23,"Company G","Fund 4",3,6,22,15
1996-02-23,"Company G","Fund 5",3,5,36,3
1996-02-23,"Company G","Fund 6",3,9,31,20
1996-02-23,"Company G","Fund 7",3,1,26,7
1996-02-23,"Company G","Fund 8",3,6,37,4
1996-02-23,"Company G","Fund 9",3,2,35,10
1996-02-23,"Company G","Fund 10",3,7,37,9
1996-03-23,"Company G","Fund 1",4,7,28,11
1996-03-23,"Company G","Fund 2",4,3,39,12
1996-03-23,"Company G","Fund 3",4,3,32,19
1996-03-23,"Company G","Fund 4",4,2,37,21
1996-03-23,"Company G","Fund 5",4,2,21,8
1996-03-23,"Company G","Fund 6",4,2,38,29
1996-03-23,"Company G","Fund 7",4,1,40,8
1996-03-23,"Company G","Fund 8",4,1,35,10
1996-03-23,"Company G","Fund 9",4,7,21,12
1996-03-23,"Company G","Fund 10",4,8,35,16
1996-03-28,"Company G","Fund 1",5,3,35,18
1996-03-28,"Company G","Fund 2",5,8,24,15
1996-03-28,"Company G","Fund 3",5,3,35,22
1996-03-28,"Company G","Fund 4",5,7,30,23
1996-03-28,"Company G","Fund 5",5,1,32,10
1996-03-28,"Company G","Fund 6",5,4,26,31
1996-03-28,"Company G","Fund 7",5,1,32,9
1996-03-28,"Company G","Fund 8",5,6,31,11
1996-03-28,"Company G","Fund 9",5,6,33,19
1996-03-28,"Company G","Fund 10",5,10,35,24
1996-06-04,"Company G","Fund 1",6,3,36,21
1996-06-04,"Company G","Fund 2",6,1,24,23
1996-06-04,"Company G","Fund 3",6,3,29,25
1996-06-04,"Company G","Fund 4",6,5,24,30
1996-06-04,"Company G","Fund 5",6,8,28,11
1996-06-04,"Company G","Fund 6",6,1,24,35
1996-06-04,"Company G","Fund 7",6,1,34,10
1996-06-04,"Company G","Fund 8",6,10,38,17
1996-06-04,"Company G","Fund 9",6,3,32,25
1996-06-04,"Company G","Fund 10",6,10,36,34
1996-07-03,"Company G","Fund 1",7,10,29,24
1996-07-03,"Company G","Fund 2",7,7,27,24
1996-07-03,"Company G","Fund 3",7,5,31,28
1996-07-03,"Company G","Fund 4",7,1,40,35
1996-07-03,"Company G","Fund 5",7,6,24,19
1996-07-03,"Company G","Fund 6",7,7,26,36
1996-07-03,"Company G","Fund 7",7,10,34,11
1996-07-03,"Company G","Fund 8",7,5,24,27
1996-07-03,"Company G","Fund 9",7,3,33,28
1996-07-03,"Company G","Fund 10",7,3,22,44
1996-09-19,"Company G","Fund 1",8,4,24,34
1996-09-19,"Company G","Fund 2",8,7,32,31
1996-09-19,"Company G","Fund 3",8,1,22,33
1996-09-19,"Company G","Fund 4",8,4,27,36
1996-09-19,"Company G","Fund 5",8,3,22,25
1996-09-19,"Company G","Fund 6",8,9,35,43
1996-09-19,"Company G","Fund 7",8,2,35,21
1996-09-19,"Company G","Fund 8",8,7,35,32
1996-09-19,"Company G","Fund 9",8,4,22,31
1996-09-19,"Company G","Fund 10",8,3,32,47
1996-10-03,"Company G","Fund 1",9,6,27,38
1996-10-03,"Company G","Fund 2",9,3,35,38
1996-10-03,"Company G","Fund 3",9,4,35,34
1996-10-03,"Company G","Fund 4",9,9,38,40
1996-10-03,"Company G","Fund 5",9,5,38,28
1996-10-03,"Company G","Fund 6",9,3,31,52
1996-10-03,"Company G","Fund 7",9,6,34,23
1996-10-03,"Company G","Fund 8",9,3,40,39
1996-10-03,"Company G","Fund 9",9,3,30,35
1996-10-03,"Company G","Fund 10",9,9,32,50
1996-10-05,"Company G","Fund 1",10,9,24,44
1996-10-05,"Company G","Fund 2",10,9,21,41
1996-10-05,"Company G","Fund 3",10,4,29,38
1996-10-05,"Company G","Fund 4",10,5,35,49
1996-10-05,"Company G","Fund 5",10,4,31,33
1996-10-05,"Company G","Fund 6",10,6,24,55
1996-10-05,"Company G","Fund 7",10,10,22,29
1996-10-05,"Company G","Fund 8",10,3,31,42
1996-10-05,"Company G","Fund 9",10,6,23,38
1996-10-05,"Company G","Fund 10",10,6,29,59
1996-10-15,"Company H","Fund 1",1,2,37,1
1996-10-15,"Company H","Fund 2",1,8,21,1
1996-10-15,"Company H","Fund 3",1,5,36,1
1996-10-15,"Company H","Fund 4",1,4,38,1
1996-10-15,"Company H","Fund 5",1,5,32,1
1996-10-15,"Company H","Fund 6",1,6,27,1
1996-10-15,"Company H","Fund 7",1,9,27,1
1996-10-15,"Company H","Fund 8",1,10,25,1
1996-10-15,"Company H","Fund 9",1,5,39,1
1996-10-15,"Company H","Fund 10",1,3,29,1
1996-11-20,"Company H","Fund 1",2,3,27,2
1996-11-20,"Company H","Fund 2",2,8,35,8
1996-11-20,"Company H","Fund 3",2,10,30,5
1996-11-20,"Company H","Fund 4",2,1,23,4
1996-11-20,"Company H","Fund 5",2,1,27,5
1996-11-20,"Company H","Fund 6",2,10,27,6
1996-11-20,"Company H","Fund 7",2,4,34,9
1996-11-20,"Company H","Fund 8",2,6,32,10
1996-11-20,"Company H","Fund 9",2,8,23,5
1996-11-20,"Company H","Fund 10",2,10,25,3
1997-01-22,"Company H","Fund 1",3,10,39,5
1997-01-22,"Company H","Fund 2",3,3,32,16
1997-01-22,"Company H","Fund 3",3,6,34,15
1997-01-22,"Company H","Fund 4",3,2,27,5
1997-01-22,"Company H","Fund 5",3,8,34,6
1997-01-22,"Company H","Fund 6",3,1,31,16
1997-01-22,"Company H","Fund 7",3,7,38,13
1997-01-22,"Company H","Fund 8",3,1,39,16
1997-01-22,"Company H","Fund 9",3,1,33,13
1997-01-22,"Company H","Fund 10",3,5,32,13
1997-03-01,"Company H","Fund 1",4,10,32,15
1997-03-01,"Company H","Fund 2",4,4,27,19
1997-03-01,"Company H","Fund 3",4,3,23,21
1997-03-01,"Company H","Fund 4",4,7,39,7
1997-03-01,"Company H","Fund 5",4,8,36,14
1997-03-01,"Company H","Fund 6",4,3,23,17
1997-03-01,"Company H","Fund 7",4,5,36,20
1997-03-01,"Company H","Fund 8",4,1,27,17
1997-03-01,"Company H","Fund 9",4,9,21,14
1997-03-01,"Company H","Fund 10",4,7,24,18
1997-05-23,"Company H","Fund 1",5,2,30,25
1997-05-23,"Company H","Fund 2",5,6,36,23
1997-05-23,"Company H","Fund 3",5,4,23,24
1997-05-23,"Company H","Fund 4",5,10,33,14
1997-05-23,"Company H","Fund 5",5,10,22,22
1997-05-23,"Company H","Fund 6",5,10,34,20
1997-05-23,"Company H","Fund 7",5,2,38,25
1997-05-23,"Company H","Fund 8",5,1,39,18
1997-05-23,"Company H","Fund 9",5,2,28,23
1997-05-23,"Company H","Fund 10",5,5,39,25
1997-06-02,"Company H","Fund 1",6,1,36,27
1997-06-02,"Company H","Fund 2",6,9,36,29
1997-06-02,"Company H","Fund 3",6,6,28,28
1997-06-02,"Company H","Fund 4",6,5,40,24
1997-06-02,"Company H","Fund 5",6,4,40,32
1997-06-02,"Company H","Fund 6",6,6,21,30
1997-06-02,"Company H","Fund 7",6,3,28,27
1997-06-02,"Company H","Fund 8",6,5,40,19
1997-06-02,"Company H","Fund 9",6,3,21,25
1997-06-02,"Company H","Fund 10",6,8,25,30
1997-06-05,"Company H","Fund 1",7,6,38,28
1997-06-05,"Company H","Fund 2",7,2,37,38
1997-06-05,"Company H","Fund 3",7,10,29,34
1997-06-05,"Company H","Fund 4",7,5,32,29
1997-06-05,"Company H","Fund 5",7,9,27,36
1997-06-05,"Company H","Fund 6",7,10,27,36
1997-06-05,"Company H","Fund 7",7,1,27,30
1997-06-05,"Company H","Fund 8",7,8,27,24
1997-06-05,"Company H","Fund 9",7,1,34,28
1997-06-05,"Company H","Fund 10",7,3,25,38
1997-12-10,"Company H","Fund 1",8,4,24,34
1997-12-10,"Company H","Fund 2",8,6,24,40
1997-12-10,"Company H","Fund 3",8,10,39,44
1997-12-10,"Company H","Fund 4",8,4,38,34
1997-12-10,"Company H","Fund 5",8,7,29,45
1997-12-10,"Company H","Fund 6",8,9,31,46
1997-12-10,"Company H","Fund 7",8,4,22,31
1997-12-10,"Company H","Fund 8",8,1,37,32
1997-12-10,"Company H","Fund 9",8,1,40,29
1997-12-10,"Company H","Fund 10",8,5,39,41
1998-01-02,"Company H","Fund 1",9,9,26,38
1998-01-02,"Company H","Fund 2",9,5,34,46
1998-01-02,"Company H","Fund 3",9,6,30,54
1998-01-02,"Company H","Fund 4",9,3,39,38
1998-01-02,"Company H","Fund 5",9,10,24,52
1998-01-02,"Company H","Fund 6",9,9,33,55
1998-01-02,"Company H","Fund 7",9,10,39,35
1998-01-02,"Company H","Fund 8",9,1,35,33
1998-01-02,"Company H","Fund 9",9,3,39,30
1998-01-02,"Company H","Fund 10",9,2,22,46
1998-03-16,"Company H","Fund 1",10,8,22,47
1998-03-16,"Company H","Fund 2",10,3,32,51
1998-03-16,"Company H","Fund 3",10,7,26,60
1998-03-16,"Company H","Fund 4",10,7,28,41
1998-03-16,"Company H","Fund 5",10,6,22,62
1998-03-16,"Company H","Fund 6",10,10,21,64
1998-03-16,"Company H","Fund 7",10,7,29,45
1998-03-16,"Company H","Fund 8",10,6,22,34
1998-03-16,"Company H","Fund 9",10,5,31,33
1998-03-16,"Company H","Fund 10",10,6,40,48
1998-05-08,"Company I","Fund 1",1,4,37,1
1998-05-08,"Company I","Fund 2",1,3,34,1
1998-05-08,"Company I","Fund 3",1,5,36,1
1998-05-08,"Company I","Fund 4",1,9,34,1
1998-05-08,"Company I","Fund 5",1,10,26,1
1998-05-08,"Company I","Fund 6",1,10,36,1
1998-05-08,"Company I","Fund 7",1,2,21,1
1998-05-08,"Company I","Fund 8",1,8,38,1
1998-05-08,"Company I","Fund 9",1,4,32,1
1998-05-08,"Company I","Fund 10",1,9,22,1
1998-06-22,"Company I","Fund 1",2,3,36,4
1998-06-22,"Company I","Fund 2",2,5,26,3
1998-06-22,"Company I","Fund 3",2,2,40,5
1998-06-22,"Company I","Fund 4",2,1,31,9
1998-06-22,"Company I","Fund 5",2,3,34,10
1998-06-22,"Company I","Fund 6",2,9,30,10
1998-06-22,"Company I","Fund 7",2,7,26,2
1998-06-22,"Company I","Fund 8",2,1,33,8
1998-06-22,"Company I","Fund 9",2,10,27,4
1998-06-22,"Company I","Fund 10",2,5,30,9
1998-09-18,"Company I","Fund 1",3,2,31,7
1998-09-18,"Company I","Fund 2",3,5,40,8
1998-09-18,"Company I","Fund 3",3,9,35,7
1998-09-18,"Company I","Fund 4",3,8,22,10
1998-09-18,"Company I","Fund 5",3,2,28,13
1998-09-18,"Company I","Fund 6",3,4,33,19
1998-09-18,"Company I","Fund 7",3,9,31,9
1998-09-18,"Company I","Fund 8",3,1,37,9
1998-09-18,"Company I","Fund 9",3,1,23,14
1998-09-18,"Company I","Fund 10",3,4,22,14
1998-09-27,"Company I","Fund 1",4,8,28,9
1998-09-27,"Company I","Fund 2",4,2,40,13
1998-09-27,"Company I","Fund 3",4,8,32,16
1998-09-27,"Company I","Fund 4",4,3,36,18
1998-09-27,"Company I","Fund 5",4,8,23,15
1998-09-27,"Company I","Fund 6",4,5,32,23
1998-09-27,"Company I","Fund 7",4,9,29,18
1998-09-27,"Company I","Fund 8",4,10,37,10
1998-09-27,"Company I","Fund 9",4,9,39,15
1998-09-27,"Company I","Fund 10",4,3,23,18
1998-11-14,"Company I","Fund 1",5,8,26,17
1998-11-14,"Company I","Fund 2",5,5,24,15
1998-11-14,"Company I","Fund 3",5,7,28,24
1998-11-14,"Company I","Fund 4",5,10,26,21
1998-11-14,"Company I","Fund 5",5,9,31,23
1998-11-14,"Company I","Fund 6",5,7,36,28
1998-11-14,"Company I","Fund 7",5,7,39,27
1998-11-14,"Company I","Fund 8",5,5,38,20
1998-11-14,"Company I","Fund 9",5,9,33,24
1998-11-14,"Company I","Fund 10",5,6,23,21
1999-01-10,"Company I","Fund 1",6,5,40,25
1999-01-10,"Company I","Fund 2",6,7,24,20
1999-01-10,"Company I","Fund 3",6,5,38,31
1999-01-10,"Company I","Fund 4",6,9,32,31
1999-01-10,"Company I","Fund 5",6,3,28,32
1999-01-10,"Company I","Fund 6",6,5,38,35
1999-01-10,"Company I","Fund 7",6,10,27,34
1999-01-10,"Company I","Fund 8",6,6,23,25
1999-01-10,"Company I","Fund 9",6,6,28,33
1999-01-10,"Company I","Fund 10",6,2,30,27
1999-02-01,"Company I","Fund 1",7,5,21,30
1999-02-01,"Company I","Fund 2",7,8,25,27
1999-02-01,"Company I","Fund 3",7,6,39,36
1999-02-01,"Company I","Fund 4",7,9,40,40
1999-02-01,"Company I","Fund 5",7,8,21,35
1999-02-01,"Company I","Fund 6",7,6,25,40
1999-02-01,"Company I","Fund 7",7,7,39,44
1999-02-01,"Company I","Fund 8",7,3,22,31
1999-02-01,"Company I","Fund 9",7,3,21,39
1999-02-01,"Company I","Fund 10",7,8,34,29
1999-02-04,"Company I","Fund 1",8,3,30,35
1999-02-04,"Company I","Fund 2",8,6,26,35
1999-02-04,"Company I","Fund 3",8,6,39,42
1999-02-04,"Company I","Fund 4",8,9,26,49
1999-02-04,"Company I","Fund 5",8,4,28,43
1999-02-04,"Company I","Fund 6",8,6,31,46
1999-02-04,"Company I","Fund 7",8,5,32,51
1999-02-04,"Company I","Fund 8",8,2,28,34
1999-02-04,"Company I","Fund 9",8,9,38,42
1999-02-04,"Company I","Fund 10",8,4,22,37
1999-03-18,"Company I","Fund 1",9,3,31,38
1999-03-18,"Company I","Fund 2",9,1,36,41
1999-03-18,"Company I","Fund 3",9,2,29,48
1999-03-18,"Company I","Fund 4",9,7,31,58
1999-03-18,"Company I","Fund 5",9,2,35,47
1999-03-18,"Company I","Fund 6",9,4,25,52
1999-03-18,"Company I","Fund 7",9,7,38,56
1999-03-18,"Company I","Fund 8",9,3,34,36
1999-03-18,"Company I","Fund 9",9,1,23,51
1999-03-18,"Company I","Fund 10",9,10,37,41
1999-04-09,"Company I","Fund 1",10,9,37,41
1999-04-09,"Company I","Fund 2",10,6,29,42
1999-04-09,"Company I","Fund 3",10,7,40,50
1999-04-09,"Company I","Fund 4",10,1,22,65
1999-04-09,"Company I","Fund 5",10,5,24,49
1999-04-09,"Company I","Fund 6",10,4,30,56
1999-04-09,"Company I","Fund 7",10,8,39,63
1999-04-09,"Company I","Fund 8",10,8,26,39
1999-04-09,"Company I","Fund 9",10,4,35,52
1999-04-09,"Company I","Fund 10",10,6,23,51
1999-05-03,"Company J","Fund 1",1,7,38,1
1999-05-03,"Company J","Fund 2",1,6,39,1
1999-05-03,"Company J","Fund 3",1,2,32,1
1999-05-03,"Company J","Fund 4",1,5,39,1
1999-05-03,"Company J","Fund 5",1,5,23,1
1999-05-03,"Company J","Fund 6",1,9,40,1
1999-05-03,"Company J","Fund 7",1,9,22,1
1999-05-03,"Company J","Fund 8",1,5,23,1
1999-05-03,"Company J","Fund 9",1,5,35,1
1999-05-03,"Company J","Fund 10",1,5,22,1
1999-09-11,"Company J","Fund 1",2,6,26,7
1999-09-11,"Company J","Fund 2",2,2,34,6
1999-09-11,"Company J","Fund 3",2,8,35,2
1999-09-11,"Company J","Fund 4",2,4,25,5
1999-09-11,"Company J","Fund 5",2,7,37,5
1999-09-11,"Company J","Fund 6",2,4,23,9
1999-09-11,"Company J","Fund 7",2,9,24,9
1999-09-11,"Company J","Fund 8",2,1,25,5
1999-09-11,"Company J","Fund 9",2,6,35,5
1999-09-11,"Company J","Fund 10",2,6,28,5
1999-10-11,"Company J","Fund 1",3,2,28,13
1999-10-11,"Company J","Fund 2",3,3,25,8
1999-10-11,"Company J","Fund 3",3,4,22,10
1999-10-11,"Company J","Fund 4",3,1,37,9
1999-10-11,"Company J","Fund 5",3,2,24,12
1999-10-11,"Company J","Fund 6",3,9,22,13
1999-10-11,"Company J","Fund 7",3,5,21,18
1999-10-11,"Company J","Fund 8",3,10,29,6
1999-10-11,"Company J","Fund 9",3,10,33,11
1999-10-11,"Company J","Fund 10",3,6,27,11
2000-02-26,"Company J","Fund 1",4,10,39,15
2000-02-26,"Company J","Fund 2",4,6,30,11
2000-02-26,"Company J","Fund 3",4,7,23,14
2000-02-26,"Company J","Fund 4",4,2,35,10
2000-02-26,"Company J","Fund 5",4,10,29,14
2000-02-26,"Company J","Fund 6",4,4,33,22
2000-02-26,"Company J","Fund 7",4,2,21,23
2000-02-26,"Company J","Fund 8",4,7,21,16
2000-02-26,"Company J","Fund 9",4,8,37,21
2000-02-26,"Company J","Fund 10",4,9,27,17
2000-04-11,"Company J","Fund 1",5,4,40,25
2000-04-11,"Company J","Fund 2",5,7,39,17
2000-04-11,"Company J","Fund 3",5,9,26,21
2000-04-11,"Company J","Fund 4",5,3,36,12
2000-04-11,"Company J","Fund 5",5,8,29,24
2000-04-11,"Company J","Fund 6",5,8,29,26
2000-04-11,"Company J","Fund 7",5,9,32,25
2000-04-11,"Company J","Fund 8",5,7,28,23
2000-04-11,"Company J","Fund 9",5,6,27,29
2000-04-11,"Company J","Fund 10",5,7,36,26
2000-04-16,"Company J","Fund 1",6,7,26,29
2000-04-16,"Company J","Fund 2",6,5,40,24
2000-04-16,"Company J","Fund 3",6,3,32,30
2000-04-16,"Company J","Fund 4",6,9,37,15
2000-04-16,"Company J","Fund 5",6,2,34,32
2000-04-16,"Company J","Fund 6",6,9,28,34
2000-04-16,"Company J","Fund 7",6,2,23,34
2000-04-16,"Company J","Fund 8",6,6,22,30
2000-04-16,"Company J","Fund 9",6,6,35,35
2000-04-16,"Company J","Fund 10",6,5,38,33
2000-07-10,"Company J","Fund 1",7,7,24,36
2000-07-10,"Company J","Fund 2",7,4,40,29
2000-07-10,"Company J","Fund 3",7,4,26,33
2000-07-10,"Company J","Fund 4",7,2,28,24
2000-07-10,"Company J","Fund 5",7,10,30,34
2000-07-10,"Company J","Fund 6",7,6,36,43
2000-07-10,"Company J","Fund 7",7,4,33,36
2000-07-10,"Company J","Fund 8",7,7,34,36
2000-07-10,"Company J","Fund 9",7,2,34,41
2000-07-10,"Company J","Fund 10",7,9,29,38
2000-08-07,"Company J","Fund 1",8,6,23,43
2000-08-07,"Company J","Fund 2",8,3,35,33
2000-08-07,"Company J","Fund 3",8,2,33,37
2000-08-07,"Company J","Fund 4",8,4,22,26
2000-08-07,"Company J","Fund 5",8,1,35,44
2000-08-07,"Company J","Fund 6",8,2,35,49
2000-08-07,"Company J","Fund 7",8,6,31,40
2000-08-07,"Company J","Fund 8",8,3,27,43
2000-08-07,"Company J","Fund 9",8,3,34,43
2000-08-07,"Company J","Fund 10",8,10,24,47
2000-10-17,"Company J","Fund 1",9,5,25,49
2000-10-17,"Company J","Fund 2",9,2,26,36
2000-10-17,"Company J","Fund 3",9,2,32,39
2000-10-17,"Company J","Fund 4",9,2,39,30
2000-10-17,"Company J","Fund 5",9,9,21,45
2000-10-17,"Company J","Fund 6",9,2,38,51
2000-10-17,"Company J","Fund 7",9,3,36,46
2000-10-17,"Company J","Fund 8",9,4,26,46
2000-10-17,"Company J","Fund 9",9,8,22,46
2000-10-17,"Company J","Fund 10",9,7,23,57
2000-10-28,"Company J","Fund 1",10,2,30,54
2000-10-28,"Company J","Fund 2",10,8,32,38
2000-10-28,"Company J","Fund 3",10,5,22,41
2000-10-28,"Company J","Fund 4",10,2,22,32
2000-10-28,"Company J","Fund 5",10,4,35,54
2000-10-28,"Company J","Fund 6",10,10,26,53
2000-10-28,"Company J","Fund 7",10,3,22,49
2000-10-28,"Company J","Fund 8",10,5,36,50
2000-10-28,"Company J","Fund 9",10,2,34,54
2000-10-28,"Company J","Fund 10",10,3,28,64
2001-01-06,"Company K","Fund 1",1,2,36,1
2001-01-06,"Company K","Fund 2",1,9,38,1
2001-01-06,"Company K","Fund 3",1,2,37,1
2001-01-06,"Company K","Fund 4",1,2,22,1
2001-01-06,"Company K","Fund 5",1,1,40,1
2001-01-06,"Company K","Fund 6",1,1,31,1
2001-01-06,"Company K","Fund 7",1,6,35,1
2001-01-06,"Company K","Fund 8",1,1,34,1
2001-01-06,"Company K","Fund 9",1,6,29,1
2001-01-06,"Company K","Fund 10",1,6,25,1
2001-01-10,"Company K","Fund 1",2,8,24,2
2001-01-10,"Company K","Fund 2",2,5,30,9
2001-01-10,"Company K","Fund 3",2,3,38,2
2001-01-10,"Company K","Fund 4",2,5,35,2
2001-01-10,"Company K","Fund 5",2,6,26,1
2001-01-10,"Company K","Fund 6",2,2,32,1
2001-01-10,"Company K","Fund 7",2,4,33,6
2001-01-10,"Company K","Fund 8",2,5,25,1
2001-01-10,"Company K","Fund 9",2,6,28,6
2001-01-10,"Company K","Fund 10",2,5,30,6
2001-01-27,"Company K","Fund 1",3,1,38,10
2001-01-27,"Company K","Fund 2",3,6,34,14
2001-01-27,"Company K","Fund 3",3,6,28,5
2001-01-27,"Company K","Fund 4",3,10,31,7
2001-01-27,"Company K","Fund 5",3,2,27,7
2001-01-27,"Company K","Fund 6",3,3,32,3
2001-01-27,"Company K","Fund 7",3,5,21,10
2001-01-27,"Company K","Fund 8",3,10,30,6
2001-01-27,"Company K","Fund 9",3,8,30,12
2001-01-27,"Company K","Fund 10",3,5,35,11
2001-02-20,"Company K","Fund 1",4,7,23,11
2001-02-20,"Company K","Fund 2",4,9,36,20
2001-02-20,"Company K","Fund 3",4,7,25,11
2001-02-20,"Company K","Fund 4",4,10,32,17
2001-02-20,"Company K","Fund 5",4,8,28,9
2001-02-20,"Company K","Fund 6",4,6,23,6
2001-02-20,"Company K","Fund 7",4,4,34,15
2001-02-20,"Company K","Fund 8",4,10,38,16
2001-02-20,"Company K","Fund 9",4,10,28,20
2001-02-20,"Company K","Fund 10",4,7,27,16
2001-03-03,"Company K","Fund 1",5,2,36,18
2001-03-03,"Company K","Fund 2",5,4,30,29
2001-03-03,"Company K","Fund 3",5,6,40,18
2001-03-03,"Company K","Fund 4",5,7,22,27
2001-03-03,"Company K","Fund 5",5,6,29,17
2001-03-03,"Company K","Fund 6",5,6,39,12
2001-03-03,"Company K","Fund 7",5,7,37,19
2001-03-03,"Company K","Fund 8",5,2,26,26
2001-03-03,"Company K","Fund 9",5,5,39,30
2001-03-03,"Company K","Fund 10",5,4,31,23
2001-03-26,"Company K","Fund 1",6,2,30,20
2001-03-26,"Company K","Fund 2",6,6,35,33
2001-03-26,"Company K","Fund 3",6,8,22,24
2001-03-26,"Company K","Fund 4",6,6,24,34
2001-03-26,"Company K","Fund 5",6,2,33,23
2001-03-26,"Company K","Fund 6",6,4,24,18
2001-03-26,"Company K","Fund 7",6,10,28,26
2001-03-26,"Company K","Fund 8",6,1,31,28
2001-03-26,"Company K","Fund 9",6,4,29,35
2001-03-26,"Company K","Fund 10",6,6,30,27
2001-04-05,"Company K","Fund 1",7,8,28,22
2001-04-05,"Company K","Fund 2",7,4,28,39
2001-04-05,"Company K","Fund 3",7,2,23,32
2001-04-05,"Company K","Fund 4",7,4,21,40
2001-04-05,"Company K","Fund 5",7,6,28,25
2001-04-05,"Company K","Fund 6",7,6,24,22
2001-04-05,"Company K","Fund 7",7,5,28,36
2001-04-05,"Company K","Fund 8",7,9,22,29
2001-04-05,"Company K","Fund 9",7,8,37,39
2001-04-05,"Company K","Fund 10",7,8,36,33
2001-08-30,"Company K","Fund 1",8,5,35,30
2001-08-30,"Company K","Fund 2",8,8,34,43
